crashSeverity,crashYear,region,weatherA,roadSurface,light,trafficControl,urban
Serious Crash,2021,Taranaki Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2010,Taranaki Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2017,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Minor Crash,2001,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2018,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2004,Wellington Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2004,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2018,Canterbury Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2017,Auckland Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2023,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2013,Canterbury Region,Fine,Sealed,Overcast,Stop,Open
Minor Crash,2019,Auckland Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2019,Marlborough Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2009,Southland Region,Fine,Unsealed,Overcast,Unknown,Open
Non-Injury Crash,2010,Northland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2013,Wellington Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2024,Bay of Plenty Region,Light rain,Sealed,Twilight,Nil,Open
Minor Crash,2019,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2013,Nelson Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2022,Taranaki Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2019,Otago Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2010,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Open
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2019,Wellington Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2000,Tasman Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2008,Auckland Region,Heavy rain,Sealed,Overcast,Stop,Urban
Minor Crash,2007,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Heavy rain,Sealed,Dark,Stop,Urban
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2002,Wellington Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2015,Hawke's Bay Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2005,Wellington Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2023,Otago Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Serious Crash,2003,Southland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2002,Otago Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2013,Wellington Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2001,Nelson Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2013,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Serious Crash,2000,Auckland Region,Fine,Unsealed,Bright sun,Nil,Urban
Serious Crash,2006,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2006,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2015,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2021,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2015,Auckland Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2025,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2014,Manawatū-Whanganui Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2011,Waikato Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2000,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2012,Wellington Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2002,Hawke's Bay Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2024,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2013,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2007,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2020,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2003,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2007,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2004,Tasman Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2010,Auckland Region,Heavy rain,Sealed,Dark,Unknown,Open
Minor Crash,2022,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2002,Northland Region,Null,Sealed,Dark,Nil,Urban
Non-Injury Crash,2020,Manawatū-Whanganui Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2007,Wellington Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2017,Wellington Region,Null,Sealed,Bright sun,Unknown,Urban
Minor Crash,2000,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2018,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2018,Southland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2010,Otago Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2021,Otago Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2009,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2002,Canterbury Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2000,Tasman Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2005,Northland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2018,Waikato Region,Fine,Sealed,Bright sun,Unknown,Urban
Serious Crash,2002,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
